,LCP1,LCP2,LCP3,LCP4,LCP5,LCP6,LCP7,LCP8,LCP9,LCP10,LCP11,Label
12,1.0,-4.620619,11.216498,-18.96521,24.804852,-26.135841,22.393353,-15.348988,8.0333805,-2.8914797,0.5435601,ang
27,1.0,-4.243772,9.878223,-16.549742,21.832207,-23.426395,20.516266,-14.562426,8.120422,-3.267545,0.7214183,ang
29,1.0,-4.5509033,10.997309,-18.775156,24.923088,-26.633648,23.09374,-16.06471,8.651243,-3.271798,0.65461206,ang
30,1.0,50.537933,-286.18597,745.17334,-1258.3942,1555.8333,-1455.3201,1020.8729,-502.84323,140.46455,-10.92046,sad
31,1.0,125.10938,-540.967,1161.4171,-1682.1149,1787.4515,-1398.1426,757.0906,-213.57071,-31.442951,34.69296,sad
32,1.0,16.7601,-104.490555,283.10147,-488.74023,614.1779,-590.556,431.37827,-223.39423,69.44821,-8.6120615,sad
34,1.0,18.454906,-109.021225,291.71838,-509.96024,654.46826,-640.6154,477.38782,-259.10934,90.229225,-14.480997,sad
35,1.0,41.444065,-260.26852,746.6422,-1352.8398,1727.2297,-1609.902,1084.3486,-493.6317,126.06864,-10.001536,sad
38,1.0,-4.0603075,9.363948,-15.90022,21.12546,-22.655422,19.77005,-13.894075,7.6193724,-3.0226183,0.66534007,sad
40,1.0,-3.9929526,9.109469,-15.461421,20.59722,-22.212334,19.601662,-13.979275,7.818639,-3.2219012,0.7518156,sad
42,1.0,63.72348,-286.3737,625.93176,-901.20215,928.20966,-680.1846,316.5058,-43.911655,-47.41442,23.98292,sad
43,1.0,-5.6099367,16.7023,-33.7381,50.940117,-60.31585,56.941395,-42.549877,24.227795,-9.551657,1.9697831,sad
44,1.0,6.045459,-24.274294,37.990166,-28.996723,-4.9035234,45.412266,-70.24228,65.37907,-38.47665,11.257593,sad
45,1.0,-6.0267754,18.465729,-37.784866,57.18912,-67.1918,62.33351,-45.206833,24.593615,-9.059383,1.6959804,sad
47,1.0,-6.267852,20.67812,-45.276894,72.38327,-88.935745,85.68269,-64.30516,36.16311,-13.803489,2.7023025,sad
49,1.0,-4.609826,11.38875,-20.079506,27.543415,-30.405878,27.298418,-19.718834,11.061794,-4.414864,0.94393414,sad
50,1.0,-4.939378,12.98242,-23.897732,33.572742,-37.36387,33.350075,-23.575,12.708688,-4.7925467,0.9613874,sad
52,1.0,-4.883721,12.643869,-22.958164,31.915707,-35.243347,31.26387,-21.996086,11.8174095,-4.418465,0.8656849,sad
56,1.0,-5.3402314,14.68141,-27.586899,39.151012,-43.704674,38.81543,-27.104958,14.279543,-5.1340766,0.9497519,sad
60,1.0,-4.160882,9.761143,-16.672613,22.132648,-23.697474,20.648472,-14.443108,7.831172,-3.0298882,0.64315504,sad
61,1.0,7.0106688,-26.24561,35.088257,-12.539453,-42.75985,102.04712,-125.937065,103.01531,-55.5688,15.016017,sad
62,1.0,-4.654952,11.579217,-20.332294,27.473549,-29.617577,25.727497,-17.773455,9.380646,-3.4521677,0.67388546,sad
64,1.0,590.9988,-2919.7156,7157.996,-11653.925,13845.464,-12297.234,8043.3506,-3598.0068,888.18054,-54.61791,sad
