,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23,MFCC_24,MFCC_25,MFCC_26,MFCC_27,MFCC_28,MFCC_29,MFCC_30,MFCC_31,MFCC_32,MFCC_33,MFCC_34,MFCC_35,MFCC_36,MFCC_37,MFCC_38,MFCC_39,MFCC_40,MFCC_41,MFCC_42,MFCC_43,MFCC_44,MFCC_45,MFCC_46,MFCC_47,MFCC_48,MFCC_49,MFCC_50,Label
12,-289.21213,110.805435,-21.313496,15.97851,-22.054483,3.3630435,-11.504783,4.5080686,-4.6622643,4.7163954,-2.9313805,-0.056480553,-4.588869,2.2690244,-6.6641936,-0.52373636,-0.47431543,-3.827793,-2.9028792,-2.5803463,-2.9515126,-2.2195044,2.71446,2.3084373,5.4544773,2.9280188,-2.0091116,-3.621247,-2.641622,1.587411,5.1068225,3.2937665,1.7609074,-0.24146377,3.4714444,4.3025784,1.8309838,-0.32720575,1.5633465,1.509168,-0.33634472,0.059355203,2.8555248,1.9025716,-0.55551857,1.1497743,2.5889852,1.9997447,-1.3862027,-1.4445157,ang
27,-257.2411,99.345795,-10.08261,29.844202,-9.154385,3.9670136,-12.355303,-1.1423143,-10.105771,-5.000117,-6.548238,4.819644,-10.872358,-1.1341956,-7.4456615,-2.359817,-3.8063545,-1.303485,-2.0238287,-2.0143056,-2.6607516,-5.701909,-2.2462795,0.34059948,2.6348243,-0.95652306,-0.27793568,0.46784127,1.843413,-1.5280976,0.68161815,1.9385576,2.8136408,1.1048449,1.4089211,2.5172167,1.9159034,0.27400786,1.563639,3.4183924,0.9125947,0.989184,0.6517389,0.7922865,1.0760154,-0.2386609,1.1133446,1.4108698,0.78070325,1.0177457,ang
29,-162.67676,97.7802,-46.044758,14.60255,-16.414543,1.5856014,-16.828533,-6.0457892,-7.4038153,2.7058737,-8.946897,4.5793147,-11.572641,-0.82060975,-9.099289,-7.9030876,-3.0571716,-4.7874494,-1.1622409,4.6785526,1.2853582,0.49353948,4.7011657,4.283383,7.509489,2.5399597,0.07995714,0.5756578,2.7196538,0.85989213,1.2424582,0.33188495,2.4796746,0.45326316,0.50444084,0.789296,2.0050917,2.1022117,2.4159346,1.9551708,1.514595,0.82715935,-0.5070633,0.9614272,0.7164289,-0.25531322,0.9531601,0.52318543,-0.26383102,0.031629007,ang
30,-440.6358,130.74364,0.37426314,29.192797,-6.186107,13.84578,-11.397534,9.895559,-3.58984,6.2026277,-0.87627345,3.9570885,-0.8664416,1.6664984,-1.0518955,-0.95168877,0.55788106,-2.4700215,3.5148115,-1.651257,4.570825,-0.93086994,0.35548818,-1.0436084,2.9617026,1.9950168,1.957173,3.9735186,0.8498384,0.88260883,0.26253864,1.0550462,-0.33324802,1.1002592,3.0718124,3.647522,0.80965894,-1.500968,-1.6862167,1.3052819,-1.6498957,-0.20170915,2.0735624,0.8301284,-0.18521875,-0.29892427,1.3848267,-0.419494,0.96566576,-0.59403914,sad
31,-454.8255,133.81084,-1.4618195,33.532536,-11.242642,18.659878,-11.550693,15.192266,-6.0385756,10.61036,-0.03931308,9.257301,-2.9883158,4.0718136,-2.6728551,2.555926,-2.9675927,-2.0995107,1.5488794,-0.004703685,2.9261568,-1.4821671,-0.42311087,-1.7193142,3.513026,0.45038646,2.7166061,3.4670496,1.5625784,-1.0369872,0.17127009,-0.29699212,0.8740232,1.4078603,6.401201,6.6731396,2.9972272,-1.4670613,-0.20904073,1.0668832,-0.47302034,-0.38913292,1.9392443,0.50464284,0.57866395,-0.07648614,1.3951396,-0.55999315,-0.541744,-1.0738416,sad
32,-435.241,132.44354,-3.0144937,31.044065,-2.2104645,7.6225367,-9.735757,10.292285,1.581418,5.527223,2.533445,4.6317754,1.2959489,2.5958364,-2.9909325,0.7618693,1.2689948,-5.6173363,1.6772299,-1.6810275,0.95147645,-3.2896168,0.35401335,1.179125,3.6700585,3.9876702,3.7597148,5.0714087,0.664407,0.9873344,0.5580768,3.2946308,0.9378569,0.36785758,4.841789,6.738295,3.454506,-1.3014662,-0.4961822,1.6309828,-0.0852548,0.74935246,2.3043456,-0.014440014,-1.1232067,-0.9384157,-0.37894887,-0.89096963,0.78308344,-0.85844773,sad
34,-437.04825,131.70229,-2.494773,33.395863,-6.4452314,10.454846,-12.5528345,6.471133,-3.305469,5.9244924,2.1200867,3.045494,2.5101705,2.2420409,-2.3653607,0.5545294,2.2258258,-4.543737,1.2191253,-1.393347,0.8445575,-4.9421396,-0.29885477,-1.1092831,3.58226,2.2260857,3.2191544,5.267481,-0.09110067,3.747154,0.6903483,0.86622614,0.06497055,-1.258215,0.79905015,2.758334,-0.79626113,-3.4400156,0.8303389,3.2097838,0.52039146,2.8405242,3.7757096,0.3760607,-0.36416107,0.026152205,0.6929487,-0.97553796,0.23252799,-1.6503121,sad
35,-431.30704,128.11176,-5.173514,27.419287,-7.291169,11.357632,-10.364117,9.583392,0.46985912,4.72285,0.83803976,0.6901494,1.4843519,-1.2667339,-2.2047873,-1.7372953,2.7814848,-4.314691,0.28984466,0.6567711,1.174204,-3.0460014,-0.30957082,1.4722109,1.1812123,2.6847742,5.590726,5.7630005,1.1495166,1.2549787,-0.33791268,2.3513062,0.96719915,-1.0135036,2.2891536,3.687913,0.1961881,-3.4512503,-2.171572,-0.12987061,-1.3506106,-0.2432388,1.836743,-0.48815715,0.27686992,0.047152683,0.18036346,-1.6169115,0.5465086,0.65712595,sad
38,-411.93546,116.38643,-8.759597,43.4815,-14.326771,17.962355,-18.47193,13.556807,-5.2476397,9.135484,-3.1485777,8.318246,-3.7490597,4.978213,-4.8144155,1.9260886,-0.89643675,-4.1375666,0.4822825,-0.043463044,1.2051853,-3.6459146,-1.6594034,-0.2868896,2.7645805,0.8915164,4.4090724,2.7905457,0.43214414,0.8559151,-0.15791854,0.552676,-0.63597006,-1.2704427,3.0459094,4.143465,1.06386,-1.4340597,0.3002158,1.9061286,-0.27264988,1.3722275,3.0349748,0.08635331,0.11538978,-0.13680592,0.14761077,-0.90975434,-0.6254364,-1.3852586,sad
40,-437.535,122.44914,-5.0681033,36.94728,-10.404572,20.239147,-15.577954,15.702335,-10.226286,10.744577,-3.034979,9.541025,-3.590376,6.2487464,-5.064064,1.7386066,-1.7311183,-2.7189918,0.20186506,-2.1748078,2.066346,-1.9255475,0.27160987,-0.5419046,2.1839375,2.272729,3.211552,2.6605995,-0.098974325,-0.6219101,-0.23156981,-0.83998,-1.0567163,-0.861693,2.1180155,3.7912629,1.945204,-1.4891142,-0.18239152,2.1481502,-0.36258295,0.6057518,2.9252405,0.61497223,-0.012887596,1.07902,1.54816,-0.23507768,0.7751801,-1.6378828,sad
