,PCP1,PCP2,PCP3,PCP4,PCP5,PCP6,PCP7,PCP8,PCP9,PCP10,PCP11,PCP12,Label
12,0.46866453,0.41858363,0.47022888,0.402123,0.43847516,0.46570164,0.43060285,0.4727774,0.3841066,0.399642,0.3393475,0.520844,ang
27,0.46321264,0.43153635,0.43119,0.4102302,0.38460225,0.39124006,0.44450098,0.38044533,0.379131,0.42337227,0.3792149,0.40831468,ang
29,0.39317584,0.39482906,0.38422722,0.40702477,0.43331227,0.39472353,0.34192637,0.3051865,0.30904078,0.3242197,0.3061558,0.31555906,ang
30,0.54684174,0.5188592,0.56983197,0.5220633,0.48416606,0.5714991,0.47033733,0.4777685,0.47371906,0.4587642,0.48268393,0.63056827,sad
31,0.6901179,0.55149,0.51546395,0.59798074,0.5543549,0.6887204,0.58874613,0.40791994,0.40888166,0.432478,0.44295532,0.5720693,sad
32,0.6315603,0.4289092,0.41460314,0.49423033,0.526856,0.5683544,0.5252225,0.38934487,0.39338702,0.44619298,0.47397724,0.5970803,sad
34,0.5236329,0.3791612,0.47334063,0.5375904,0.42500404,0.4933581,0.38435298,0.37572613,0.43772826,0.5348564,0.52476335,0.5697969,sad
35,0.5557033,0.45612994,0.5697187,0.5416251,0.4663122,0.5560286,0.38209406,0.39833537,0.5022171,0.550948,0.620067,0.7503488,sad
38,0.5196687,0.41842428,0.54983383,0.57917166,0.5455285,0.6272413,0.4337643,0.392979,0.43942642,0.5099307,0.50961477,0.65109015,sad
40,0.7199762,0.5351144,0.5762519,0.6696499,0.556532,0.5454277,0.4488181,0.3622124,0.38595772,0.4494192,0.4941062,0.64150065,sad
42,0.64695,0.42704874,0.3999467,0.4531216,0.41455588,0.49394092,0.54109305,0.44145873,0.42226025,0.39193025,0.3639639,0.49922326,sad
43,0.72822386,0.5008098,0.50483793,0.5269342,0.4298936,0.5046047,0.5455655,0.43471783,0.4209833,0.570246,0.5844808,0.6513637,sad
44,0.6161316,0.4994872,0.49693054,0.38886786,0.34034345,0.43090418,0.3490829,0.38211435,0.42719573,0.50126266,0.55387986,0.7431951,sad
45,0.66120994,0.5219419,0.59572786,0.49152434,0.3969978,0.49379528,0.4128101,0.46472478,0.48243862,0.5251588,0.5206915,0.634332,sad
47,0.3822077,0.30529615,0.28530216,0.24568427,0.25802356,0.36169267,0.3246103,0.38819313,0.49835268,0.52713776,0.5223401,0.5096608,sad
49,0.6915544,0.49912864,0.43610835,0.51715857,0.44267493,0.4800468,0.54112065,0.43838224,0.5258404,0.5897661,0.53888,0.530772,sad
50,0.6650363,0.45967513,0.43052027,0.45040473,0.40480942,0.466559,0.54182374,0.4933289,0.48334932,0.55853975,0.5441037,0.60922873,sad
52,0.6506673,0.57848984,0.480691,0.50663,0.4583108,0.5540878,0.5633292,0.42633826,0.38897687,0.54588586,0.5497377,0.56837964,sad
56,0.47115922,0.3886644,0.37078097,0.4200778,0.41342714,0.41242668,0.43341187,0.33675402,0.35505724,0.5303978,0.5253893,0.47944546,sad
60,0.6109882,0.5549211,0.65988,0.66374123,0.5113014,0.5758563,0.44181132,0.4290162,0.54785436,0.6642172,0.49563324,0.5992925,sad
61,0.64383346,0.55084,0.57791823,0.5632329,0.4899527,0.6790933,0.4415372,0.34712905,0.40702036,0.6024216,0.5198091,0.67603517,sad
62,0.67031133,0.6284942,0.67617124,0.6972579,0.5643797,0.76675475,0.5586005,0.4060319,0.42030042,0.70704085,0.45587924,0.5812268,sad
64,0.6291518,0.6035949,0.5995085,0.6169766,0.5044094,0.53735524,0.51435536,0.43335733,0.40721804,0.6155922,0.5198711,0.54214585,sad
65,0.54351974,0.5457703,0.59464276,0.644928,0.5598404,0.5063895,0.47734126,0.3904409,0.36146972,0.4611638,0.4844496,0.47777647,sad
83,0.37457126,0.3371061,0.28850356,0.25641963,0.22341616,0.2868699,0.33160076,0.32634035,0.42403558,0.43873805,0.4011375,0.4339193,exc
98,0.37854105,0.37328693,0.38787705,0.4347504,0.43821478,0.39787763,0.3113566,0.30484468,0.40649387,0.46166983,0.45700783,0.4314412,exc
117,0.60694844,0.5391981,0.4691299,0.40198052,0.36133257,0.43168402,0.37972614,0.28755924,0.2745871,0.2796682,0.39263883,0.6119713,exc
148,0.4971506,0.39397246,0.37381428,0.39458752,0.3942209,0.44643933,0.39064074,0.3338686,0.42591968,0.5322642,0.55291307,0.5576924,ang
149,0.5853976,0.5143764,0.4725738,0.5327219,0.51116157,0.57080495,0.4977347,0.5023487,0.47483948,0.5152709,0.5552127,0.63301957,ang
150,0.4189295,0.39545262,0.36895555,0.399738,0.4082801,0.34848857,0.3452478,0.44086233,0.48404136,0.51018304,0.5308001,0.50249285,ang
151,0.41063544,0.367743,0.30384144,0.29435548,0.36466655,0.4549749,0.38266304,0.3450219,0.3862231,0.4095121,0.36041275,0.3941941,ang
152,0.41319445,0.413583,0.48032343,0.4736569,0.3695352,0.3678558,0.3996737,0.36521566,0.37864104,0.3922069,0.37896243,0.39257586,ang
153,0.43928006,0.39059675,0.37376437,0.39482826,0.40702447,0.48738968,0.44374284,0.5006013,0.5547637,0.54666007,0.5379022,0.47624272,ang
199,0.3994646,0.37422466,0.46399564,0.5278742,0.48065484,0.42021632,0.3494735,0.3378205,0.44964832,0.5014087,0.3936347,0.42886275,ang
200,0.3819699,0.3433419,0.3473302,0.38526395,0.42264113,0.38424563,0.39445826,0.41882005,0.3896545,0.38789344,0.4260346,0.45089614,ang
202,0.50895417,0.45606676,0.51871985,0.5139273,0.41409904,0.38126063,0.4062076,0.3498057,0.37341496,0.45619217,0.605547,0.6244414,ang
203,0.2762276,0.27538416,0.31347236,0.4012706,0.4282212,0.41335478,0.33071685,0.35365766,0.35663292,0.353003,0.32832715,0.24931267,ang
205,0.4664361,0.37967238,0.34169447,0.39231881,0.4128033,0.42862225,0.38551816,0.31888655,0.36107278,0.46414766,0.45700622,0.48725364,ang
206,0.3858898,0.36038226,0.35477936,0.3394665,0.31212074,0.32098553,0.3477757,0.36421433,0.3452736,0.3506278,0.3673887,0.34709826,ang
207,0.28330138,0.33736387,0.39498672,0.3892132,0.3859687,0.39259985,0.34656173,0.28603062,0.24657805,0.25228083,0.29534888,0.31415868,ang
208,0.34010234,0.28913555,0.28628653,0.31018513,0.33008796,0.37986174,0.41750613,0.35327017,0.31762117,0.29429024,0.37804738,0.3728884,ang
209,0.2750675,0.21345893,0.18446605,0.38529056,0.39593664,0.38976663,0.3528276,0.25167593,0.2364232,0.29095712,0.21161976,0.20370069,ang
210,0.4519646,0.4425849,0.42405674,0.3771203,0.33534887,0.3511268,0.32984892,0.3173008,0.35656717,0.37797844,0.40539798,0.4310026,ang
211,0.34570807,0.36931232,0.3245906,0.28321618,0.36891067,0.32243592,0.30657342,0.26128718,0.41417506,0.36880285,0.30103543,0.32252756,ang
212,0.3698541,0.3739049,0.33230475,0.30566606,0.3009884,0.33668202,0.32659462,0.27625826,0.28171456,0.2893048,0.42578503,0.4595887,ang
213,0.42199975,0.4130939,0.3583351,0.3927624,0.34530455,0.32142726,0.2613112,0.2729573,0.31183556,0.35632533,0.4425607,0.45443898,ang
214,0.365511,0.4465777,0.37308615,0.30915076,0.29099268,0.25278723,0.24082121,0.3839485,0.5525199,0.38881928,0.35932705,0.33786875,ang
215,0.57445365,0.49153212,0.40544525,0.38912693,0.40649852,0.44772047,0.4203193,0.48306453,0.58734155,0.65198034,0.7100014,0.5712889,ang
216,0.4655113,0.5541519,0.55265224,0.5030187,0.3683511,0.35656834,0.394048,0.42196304,0.4442608,0.4403759,0.4516422,0.43797562,ang
217,0.4730368,0.40195596,0.4634286,0.53052294,0.44051552,0.50092036,0.47073227,0.40006542,0.45207408,0.50690484,0.6312274,0.6818353,ang
219,0.49832925,0.3692933,0.39176667,0.45366246,0.40548724,0.43473187,0.4530249,0.4530344,0.50103796,0.5362405,0.47303423,0.48481345,ang
220,0.31137174,0.3342286,0.39501387,0.4047698,0.33767694,0.4068505,0.36365354,0.36513418,0.43463033,0.38923386,0.35087857,0.31741303,ang
221,0.43657893,0.40922818,0.44019702,0.40618432,0.36664644,0.44889548,0.46800676,0.41165507,0.41158283,0.4392913,0.42976215,0.463085,ang
260,0.5636081,0.49901515,0.60734963,0.68260115,0.48460627,0.49685875,0.41499463,0.35007548,0.34002894,0.4146949,0.4317862,0.47708118,sad
263,0.49891847,0.40415946,0.4486097,0.57331365,0.539254,0.59376985,0.4619488,0.35917762,0.34902006,0.38664088,0.39822486,0.51430404,sad
264,0.37093496,0.42123094,0.6202629,0.6148926,0.501149,0.42160028,0.34220606,0.36057475,0.40135464,0.43857372,0.46219468,0.47548574,sad
265,0.39695537,0.4670054,0.63535273,0.5591769,0.48133683,0.43917134,0.3300587,0.3323905,0.4043113,0.44652218,0.4529166,0.51581055,sad
266,0.47922662,0.46707678,0.5440146,0.641533,0.49631685,0.51216924,0.4210298,0.39130396,0.43992135,0.45599762,0.43363598,0.45695856,sad
268,0.5820087,0.6832794,0.7297373,0.5748395,0.43842492,0.413426,0.3916282,0.47887933,0.53055954,0.5590745,0.6099122,0.67925096,sad
269,0.48741573,0.47552872,0.5938441,0.6326024,0.45178068,0.41135126,0.34325436,0.36645576,0.441265,0.48519987,0.45805058,0.48352638,sad
270,0.46204454,0.40523323,0.4692277,0.50524163,0.41692758,0.42189926,0.38443664,0.3975137,0.45264694,0.45642465,0.44016188,0.471989,sad
271,0.58431464,0.48506382,0.6131866,0.7871585,0.5288819,0.3933976,0.34251264,0.29773107,0.37648183,0.54239804,0.59681726,0.62470615,sad
272,0.56810474,0.44116563,0.48965964,0.59553415,0.57722986,0.5469003,0.38565934,0.3023298,0.37704107,0.47485545,0.47080964,0.53884673,sad
273,0.65715826,0.5922193,0.67430264,0.6809685,0.5660417,0.5808338,0.44931576,0.49532202,0.5495498,0.6193211,0.6534587,0.71895146,sad
278,0.45855278,0.3645337,0.38252738,0.46944943,0.4591525,0.54717857,0.49116218,0.38082832,0.36070663,0.38058832,0.39211568,0.4517841,sad
279,0.5226913,0.43050563,0.44381586,0.5138823,0.44785383,0.5064452,0.4568173,0.4126999,0.4609307,0.5122372,0.50012463,0.5240415,sad
280,0.4709079,0.42564926,0.41315526,0.36366314,0.37219682,0.48622924,0.4916975,0.47548723,0.43941683,0.40517113,0.44091773,0.50147086,sad
281,0.6517231,0.5538711,0.67071575,0.6061309,0.4324082,0.4623139,0.5248847,0.41159552,0.4202214,0.53140706,0.58417356,0.6191244,sad
282,0.53555804,0.44458592,0.49470222,0.5087819,0.48665848,0.63850015,0.55489635,0.3999421,0.3957182,0.45676473,0.50334966,0.5474139,sad
283,0.3992202,0.36087006,0.3396742,0.34893322,0.32913837,0.42010215,0.45219618,0.48167637,0.49611235,0.44298658,0.38615602,0.4176136,sad
284,0.4380805,0.3550261,0.40003356,0.4599394,0.42955494,0.49125668,0.39407998,0.37727997,0.39559436,0.41043463,0.45580646,0.5061242,sad
286,0.42313355,0.39000043,0.4724356,0.50784826,0.432925,0.44245633,0.38422948,0.34402537,0.35681862,0.4045687,0.4309493,0.44941193,sad
287,0.5684174,0.5951383,0.6171027,0.57006073,0.4906684,0.6741792,0.5666339,0.54419744,0.544033,0.54464567,0.46628496,0.5322818,sad
290,0.44029197,0.47922847,0.47565153,0.49613747,0.43570212,0.4221045,0.40255803,0.36640403,0.52046067,0.64262885,0.54355764,0.43204823,sad
294,0.5821691,0.6841259,0.6206648,0.6617645,0.6241637,0.5984496,0.66644925,0.5492331,0.5874459,0.574969,0.51680213,0.49434444,sad
305,0.38826203,0.32836372,0.28663173,0.26899937,0.2757564,0.32106912,0.3197617,0.33253,0.35886818,0.41103882,0.43072385,0.44176793,exc
307,0.35401058,0.35560757,0.3419856,0.33705792,0.33727738,0.38694394,0.36156857,0.32507113,0.4123772,0.4459062,0.4435494,0.44240713,exc
